filename,mjd,rv_sci_mean_kms,rv_cal_mean_kms
MiniCombEtalon_R01_20260511063002_deg0_sp.fits,61171.272053417,0.03113728800593849,0.021909818095173533
MiniCombEtalon_R01_20260511093002_deg0_sp.fits,61171.397052599,0.03819126744258703,0.020731684582068054
MiniCombEtalon_R01_20260511123002_deg0_sp.fits,61171.522051737,0.04469036254314124,0.02025008685055097
MiniCombEtalon_R02_20260511063002_deg0_sp.fits,61171.274274260,0.029197951042147376,0.02073565185700064
MiniCombEtalon_R02_20260511093002_deg0_sp.fits,61171.399273441,0.03552050238633893,0.019496066785343304
MiniCombEtalon_R02_20260511123002_deg0_sp.fits,61171.524272577,0.04351872375787362,0.019496478692078777
MiniCombEtalon_R03_20260511063002_deg0_sp.fits,61171.276495103,0.032134570741190326,0.020399813923711124
MiniCombEtalon_R03_20260511093002_deg0_sp.fits,61171.401494283,0.036859242782668736,0.01906572356219323
MiniCombEtalon_R03_20260511123002_deg0_sp.fits,61171.526493416,0.04282304512398764,0.019868533863792465
MiniCombEtalon_R04_20260511063002_deg0_sp.fits,61171.278715947,0.031359143395382975,0.021212543118355714
MiniCombEtalon_R04_20260511093002_deg0_sp.fits,61171.403715123,0.035610449724875794,0.01981393704409057
MiniCombEtalon_R04_20260511123002_deg0_sp.fits,61171.528714255,0.04289655097162964,0.019912476551200323
MiniCombEtalon_R05_20260511063002_deg0_sp.fits,61171.280936790,0.0327208193519149,0.020521700301533146
MiniCombEtalon_R05_20260511093002_deg0_sp.fits,61171.405935963,0.0372565767916103,0.019676809612519913
MiniCombEtalon_R05_20260511123002_deg0_sp.fits,61171.530935094,0.04194278127836695,0.019523942852229522
MiniCombEtalon_R06_20260511063002_deg0_sp.fits,61171.283157632,0.03011828304578275,0.0203021861239762
MiniCombEtalon_R06_20260511093002_deg0_sp.fits,61171.408156802,0.03778144726416736,0.019672655484214287
MiniCombEtalon_R06_20260511123002_deg0_sp.fits,61171.533155933,0.044112832337243814,0.019735179556734237
MiniCombEtalon_R07_20260511063002_deg0_sp.fits,61171.285378472,0.03039920727197189,0.02088636544669762
MiniCombEtalon_R07_20260511093002_deg0_sp.fits,61171.410377640,0.03844374313018338,0.019640584426216606
