filename,mjd,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43
MiniCombEtalon_R08_20260511063002_deg0_sp.fits,61171.287599312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04630396506225586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R08_20260511093002_deg0_sp.fits,61171.412598479,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05530358610076244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R08_20260511123002_deg0_sp.fits,61171.537597613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05620798624500468,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R09_20260511063002_deg0_sp.fits,61171.289820151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04499113145188399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R09_20260511093002_deg0_sp.fits,61171.414819318,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.052345480756370966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R09_20260511123002_deg0_sp.fits,61171.539818452,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05614541828640289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R10_20260511063002_deg0_sp.fits,61171.292040990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.044603450749464486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R10_20260511093002_deg0_sp.fits,61171.417040156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.054438973694661295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R10_20260511123002_deg0_sp.fits,61171.542039291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05986258716668222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R11_20260511063002_deg0_sp.fits,61171.294261830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04737865886839872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
