filename,mjd,rv_sci_mean_kms,rv_cal_mean_kms
EtalonEtalon_R01_20260503050002_deg0_sp.fits,61163.209559809,0.030640672123711427,0.031609219694315065
EtalonEtalon_R01_20260503080001_deg0_sp.fits,61163.334541564,0.027439545513704325,0.02773897268145208
EtalonEtalon_R01_20260503110001_deg0_sp.fits,61163.459540472,0.023169236166843923,0.02414200778035757
EtalonEtalon_R01_20260504050001_deg0_sp.fits,61164.209551624,0.017671323646422037,0.018215515644240378
EtalonEtalon_R01_20260504080002_deg0_sp.fits,61164.334550506,0.017613868920340156,0.018523811562265357
EtalonEtalon_R01_20260504110001_deg0_sp.fits,61164.459549394,0.01359879907881293,0.014483113833775943
EtalonEtalon_R01_20260505050001_deg0_sp.fits,61165.209543470,0.013109537652906669,0.013722773018195366
EtalonEtalon_R01_20260505080002_deg0_sp.fits,61165.334559496,0.006014219311184949,0.006390895253616467
EtalonEtalon_R01_20260505110001_deg0_sp.fits,61165.459541362,0.004390642610161421,0.005616700903085128
EtalonEtalon_R01_20260507050001_deg0_sp.fits,61167.209542837,0.03136184210335641,0.03301418356602161
EtalonEtalon_R01_20260507080001_deg0_sp.fits,61167.334541767,0.028616290950955827,0.03040953604426782
EtalonEtalon_R01_20260507110001_deg0_sp.fits,61167.459540678,0.030598774218953018,0.03251178217426029
EtalonEtalon_R01_20260508050001_deg0_sp.fits,61168.209551899,0.0383918815539528,0.04035300750601133
EtalonEtalon_R01_20260508080001_deg0_sp.fits,61168.334550831,0.03884042452996921,0.04015689672776493
EtalonEtalon_R01_20260508110001_deg0_sp.fits,61168.459532662,0.03688374637182027,0.039411153335481994
EtalonEtalon_R01_20260509050001_deg0_sp.fits,61169.209543104,0.04037095902998414,0.041676096775105385
EtalonEtalon_R01_20260509080001_deg0_sp.fits,61169.334542025,0.03830193341173463,0.040327546972814474
EtalonEtalon_R01_20260509110001_deg0_sp.fits,61169.459540958,0.03608660193248092,0.03780822818037911
EtalonEtalon_R01_20260510050001_deg0_sp.fits,61170.209552348,0.046907719315131956,0.04755076093622623
EtalonEtalon_R01_20260510080001_deg0_sp.fits,61170.334551593,0.04511380993956791,0.04474311104772471
EtalonEtalon_R01_20260510110001_deg0_sp.fits,61170.459550810,0.04321424483239302,0.043496413104893814
EtalonEtalon_R01_20260511050001_deg0_sp.fits,61171.209545298,0.05761777125019851,0.05767839108307334
EtalonEtalon_R01_20260511080002_deg0_sp.fits,61171.334561563,0.05836430737303856,0.058218097494762214
EtalonEtalon_R01_20260511110001_deg0_sp.fits,61171.459543629,0.056787924077205246,0.05651274707003016
EtalonEtalon_R01_20260512050001_deg0_sp.fits,61172.209538205,0.06048119451948698,0.06054996241447848
EtalonEtalon_R01_20260512080001_deg0_sp.fits,61172.334537586,0.06020773879960782,0.05996098821489755
EtalonEtalon_R01_20260512110001_deg0_sp.fits,61172.459536899,0.05814053967071951,0.057974266367829375
EtalonEtalon_R02_20260503050002_deg0_sp.fits,61163.211780645,0.029756010923737277,0.029895018755960585
EtalonEtalon_R02_20260503080001_deg0_sp.fits,61163.336762402,0.02667514481883685,0.028202206527715646
EtalonEtalon_R02_20260503110001_deg0_sp.fits,61163.461761314,0.024463789401984595,0.023768522400728194
EtalonEtalon_R02_20260504050001_deg0_sp.fits,61164.211772462,0.017342054325063524,0.017811435815114178
EtalonEtalon_R02_20260504080002_deg0_sp.fits,61164.336771345,0.01767037667985211,0.018696260252083888
