filename,mjd,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42
EtalonEtalon_R01_20260503050002_deg0_sp.fits,61163.209559809,0.018922646282976636,0.01580157601550603,-0.040899391638632605,-0.17778965046080197,-0.017354215280370094,-0.05762230885903879,nan,0.016082767643536985,-0.041177657692382616,-0.06210929153026678,0.009747234566106544,0.005131607167386705,-0.027996362553271113,nan,0.13401655675609214,0.0653734461010374,0.11625801453791747,0.07616947471976146,0.0360224372922162,0.07607723818197056
EtalonEtalon_R01_20260503080001_deg0_sp.fits,61163.334541564,0.02103564689502007,0.01526752932416258,-0.04394101288874597,-0.17803152183458937,-0.014855159766372215,-0.05271222995090982,nan,0.019248580674281663,-0.040885102649745715,-0.05936555940683433,0.010514095128506443,0.006039531905806347,-0.025468338296671486,nan,0.13625109830788917,0.06602002555739689,0.11761026467973261,0.07147245868734203,0.036659682180896776,0.07015137407625945
EtalonEtalon_R01_20260503110001_deg0_sp.fits,61163.459540472,0.018844814584695935,0.016389555948193538,-0.04301645510224493,-0.17773113110258293,-0.016470298034630508,-0.0560353599643718,nan,0.021387805977876224,-0.042902431469015206,-0.0652671444489574,0.00486689222832818,0.009387100222945283,-0.026601117219767507,nan,0.135183604370293,0.07020341439125892,0.11458039088040324,0.07169958453389884,0.03684454643386731,0.07384208809129664
EtalonEtalon_R01_20260504050001_deg0_sp.fits,61164.209551624,0.020084604358138095,0.015474237755829796,-0.037768329856840324,-0.175599999578385,-0.014465468641077936,-0.053721236301378456,nan,0.011016428717090535,-0.030226411959528826,-0.06611497138928094,0.009920325681708343,0.006066830435706987,-0.026268263415529042,nan,0.13707869371678824,0.06386894110445747,0.11523882039536029,0.07084862527395774,0.03325587181353823,0.07210379465248962
EtalonEtalon_R01_20260504080002_deg0_sp.fits,61164.334550506,0.01788779425942872,0.013562239530673724,-0.04559750105138864,-0.1787753504534863,-0.012732306323535003,-0.05140770984711147,nan,0.017559325307941173,-0.0338614775121347,-0.06617478429200269,0.0057406558356253995,0.0028031278976995352,-0.024691059990834027,nan,0.13748576275399355,0.06465799630623734,0.11577685776444754,0.07280534715196402,0.03455349284459315,0.07562527696528058
EtalonEtalon_R01_20260504110001_deg0_sp.fits,61164.459549394,0.019359990719352432,0.012214760443675983,-0.044540490285131455,-0.17691765009762622,-0.012512552900177748,-0.05172010114233594,nan,0.016152175116044463,-0.043181028818674916,-0.06407873663255646,0.007894719735832285,0.00696414410691671,-0.029281355921573632,nan,0.13542602578846988,0.06976080327527873,0.11302992925912274,0.0723207025614139,0.03357520166123682,0.07761526867637766
EtalonEtalon_R01_20260505050001_deg0_sp.fits,61165.209543470,0.02074236349618648,0.014481675772961604,-0.043486371918245156,-0.17642956339894433,-0.005993123978763875,-0.05295066100244306,nan,0.014993260620898577,-0.04245996756288145,-0.06377882909628863,0.009060041762961116,0.008056048548482304,-0.028897736473982215,nan,0.13940841224191605,0.06782157127364047,0.11277930962512678,0.06957370491046536,0.029655234596761906,0.07546010847007703
EtalonEtalon_R01_20260505080002_deg0_sp.fits,61165.334559496,0.018662848066578315,0.015797497016102766,-0.03738095695890666,-0.17542016977454766,-0.017607791952926746,-0.05087482905395853,nan,0.015570295330457708,-0.04274110061520649,-0.06350946664960437,0.00786780030859452,0.010689169358545313,-0.028172172982617774,nan,0.1362612716962045,0.07065404588698848,0.11070598670102413,0.07030910191316483,0.0325637091233191,0.07491394027657566
EtalonEtalon_R01_20260505110001_deg0_sp.fits,61165.459541362,0.023806659840380592,0.01603240019078915,-0.046579670555445436,-0.179448502131005,-0.01286694601966707,-0.05882948316607305,nan,0.01698722165983671,-0.04223523231467499,-0.06179020246893614,0.010108810206669427,0.007512016243466736,-0.02472583716317305,nan,0.13765594575443588,0.06809947146769381,0.11009917900170536,0.0688680933824876,0.03482691610700992,0.0721192601148785
EtalonEtalon_R01_20260507050001_deg0_sp.fits,61167.209542837,0.014990629055219345,0.018552100967782092,-0.04526813108371668,-0.1790648129121322,-0.016038532877207558,-0.05263113990458137,nan,0.017339246149449008,-0.04597727362491063,-0.06463040995725447,0.006805921834890191,0.006814922233085156,-0.026037538173505157,nan,0.13769606815619065,0.06342196187062016,0.11635319025886662,0.0694907506308663,0.036503834595660714,0.07835757262426923
