filename,mjd,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39
EtalonEtalon_R01_20260422050002_deg0_sp.fits,61152.209541588,0.038342472815610304,0.13528158293135167,-0.06206653297195454,-0.08440174141261735,-0.024342729085848412,0.03611393797368394,0.04633607857555364,0.02055162607439555,0.006140840060865516,-0.09310656123159457,-0.010697486824671299,0.023561248094345573,-0.045237365441707825,-0.01972657107395675,-0.07353424393384611,0.09483699718636132,0.014977659328197543,-0.016404003343553193,-0.027335912851523723,-0.046514227112385384,-0.12909322818473684,-0.027884476421156823,-0.12837661088321783,-0.027005766986430736,0.04178191961025381,nan,0.15885172023340996,-0.13757249389616927,-0.02689709620434206,0.008704503766715034,-0.014284062033768297,0.11970663875643486,nan,-0.05389828292352052,0.027145274608509372,-0.0013808265528882993
EtalonEtalon_R01_20260422080002_deg0_sp.fits,61152.334557567,0.03860009758577236,0.11030641896318125,-0.059057863589989656,-0.07767442339560632,-0.027173825937908506,0.03001968049329292,0.053935549907193174,-0.001171815064022308,0.003968581987490755,-0.08985376719499087,-0.00979207794831776,0.023027423134238532,-0.0332058645531576,-0.0046991356026013925,-0.07894047342381035,0.08776968727625326,0.017313996523131203,-0.007729479612029015,-0.019372541397381905,-0.04154788500059814,-0.1313901696339632,-0.030605963265104508,-0.12551283213737766,-0.020673710720057643,0.03075482892702893,nan,0.1588240153869354,-0.1356537752127042,-0.03036364964966193,0.003030949114807918,-0.007778959174548912,0.11702178900989865,nan,-0.049353396301256985,0.025701601292294585,-1.4736736937026595e-05
EtalonEtalon_R01_20260422110001_deg0_sp.fits,61152.459556393,0.03246035706674747,0.10769425492033614,-0.056397146400749415,-0.07807451226785897,-0.0165391878325711,0.02994635339052696,0.046614314394023054,0.02056768359221408,0.004386151274348401,-0.09400345313761911,-0.011973749409418671,0.03265724606117174,-0.029988918713603232,-0.0143609444967501,-0.07561734935337885,0.09058123818522508,0.013504777760368573,-0.03267130416675365,-0.02980240473477551,-0.04600084795164369,-0.1318872209027396,-0.023952949134567997,-0.1305453733247379,-0.01573900926076912,0.03394563823607486,nan,0.1575208948982787,-0.1434258856538986,-0.025629557119683566,0.0003583451738528587,-0.013402670158447521,0.11433376159379578,nan,-0.054641374397958825,0.025718081469616197,-0.004078653149573692
EtalonEtalon_R02_20260422050002_deg0_sp.fits,61152.211762426,0.034661743037613386,0.04693366226097246,-0.047653897946116075,-0.06683847112315855,-0.020173628699684358,0.03260682788003977,0.051006134354334896,0.0024100880504598354,0.015102721412476422,-0.1009850263533763,-0.01897675058758681,0.03570384045082557,-0.03942372368713885,-0.017355687901517786,-0.07400293603838923,0.0918003916540053,0.014367032367810957,-0.018135036778723548,-0.028626286544843244,-0.04571444731528246,-0.13519805135322455,-0.02701991795672684,-0.12933322061968205,-0.01936741395108285,0.0349050695421747,nan,0.156135788824991,-0.1391389543581322,-0.03186217709461263,0.008631040214188167,-0.01437077738170047,0.12042293367318749,nan,-0.05366145134306341,0.030676208352023678,0.0032723808356730708
EtalonEtalon_R02_20260422080002_deg0_sp.fits,61152.336778406,0.01783891033891977,0.10557674219860846,-0.06252405050001662,-0.07092170731618645,-0.021326208875117006,0.03650739144638428,0.044367238802152625,0.0037371134016690594,0.011497471544091874,-0.08706528815113432,-0.007471286968331735,0.04071753120557966,-0.03604943758683404,-0.02033389488226093,-0.07776711993111154,0.0947447710770868,0.021807140449572375,-0.02233953619965751,-0.027464362476689055,-0.042243476508883715,-0.13237063298522878,-0.02880960653372011,-0.12520396823770197,-0.0271830696762075,0.04287703313975809,nan,0.15472744788633827,-0.13770912546919106,-0.03126036775849858,0.007014135467224673,-0.0070813333904324385,0.11586037210070832,nan,-0.05115226848947647,0.028858459356025924,-0.003186441880065744
EtalonEtalon_R02_20260422110001_deg0_sp.fits,61152.461777229,0.035620498863321505,0.11137875759434102,-0.05130342953687152,-0.06516007131925552,-0.032296966124074344,0.05475220598614644,0.04106729105819021,0.009633866341357544,0.008422789402844112,-0.0946149191481731,-0.015070161232228759,0.029663418198289285,-0.033937854244576855,-0.015151537070964137,-0.07103215639061808,0.08469559578100004,0.018791084265840644,-0.022615002254918484,-0.024789501496441366,-0.03844094895466678,-0.13207231294439017,-0.024994788878250074,-0.1229350056801221,-0.02362602046022161,0.03473796943818531,nan,0.15724250981504262,-0.14148468100036424,-0.029347194714631313,0.003817225764935893,-0.01325381849483572,0.11728703963216691,nan,-0.04854490416648312,0.031162898132918195,0.0010975393618139623
EtalonEtalon_R03_20260422050002_deg0_sp.fits,61152.213983264,0.019268539497191157,0.11112790208541207,-0.05460775045732459,-0.07387943506505171,-0.020075544905249806,0.04223716203146373,0.04156927066545392,0.003873924290713482,0.010562408849570507,-0.09990960644505859,-0.006598925771273377,0.03503857561592509,-0.028370819071950534,-0.013086416684840174,-0.0799932442221729,0.09174451408957032,0.01900976200032691,-0.0187961502827889,-0.03113556796584967,-0.04022670053291666,-0.1383929745265512,-0.025697671744355194,-0.12819811562801367,-0.01907377193819161,0.03770386149128243,nan,0.15434570696238825,-0.14030597841271614,-0.027866184059313355,0.0264555872645396,-0.013506007872140506,0.12187078666726597,nan,-0.05306793795679119,0.02655490230026529,0.0027521593241314132
EtalonEtalon_R03_20260422080002_deg0_sp.fits,61152.338999245,0.03868329882594776,0.11216644737242315,-0.060591546281530365,-0.07344029470619781,-0.028588378938363954,0.0353490964932604,0.036268021321864505,0.008713034499944677,0.011611825939919862,-0.0919859759474484,-0.009931615252063849,0.028196925545900125,-0.030041740437588102,-0.015589959345227986,-0.0793053634664346,0.08787753433545523,0.018919865406730466,-0.02032235390563365,-0.019225432949152244,-0.045293995841055625,-0.12755948272385734,-0.028069287723281475,-0.12679306437345242,-0.017481428281678733,0.03947073852416116,nan,0.15343634784991575,-0.13912088455845664,-0.026802009776712724,0.0037638388104042006,-0.010414246707840441,0.11537316389530537,nan,-0.04952144719673732,0.02632278942238506,-0.00417209307072133
EtalonEtalon_R03_20260422110001_deg0_sp.fits,61152.463998064,0.03168475759521521,0.11177840286736335,-0.047909486897279197,-0.07256005696793431,-0.025444614804347215,0.04431168072173983,0.04339429558722211,0.01616211686422,0.009155237219847658,-0.09167569781849227,-0.012220105021169759,0.029964726780541722,-0.03702419005109844,-0.012186087554951403,-0.07847136006969728,0.09580293054135434,0.01720951921594378,-0.018761826063787478,-0.02303489871126277,-0.044125924845596916,-0.1284765196181553,-0.02335846041938136,-0.1280163675906735,-0.017963937117729548,0.03784734170448277,nan,0.15329014072535685,-0.13619013403184144,-0.030350478782973464,0.0018298671427301252,-0.012260089626337137,0.12247828690911093,nan,-0.051809512568008226,0.026521074293732336,-0.0015363701738883226
EtalonEtalon_R04_20260422050002_deg0_sp.fits,61152.216204101,0.03233590527008645,0.11188057256212036,-0.06134916130787299,-0.07723215783221693,-0.025911183368034607,0.025529934667779412,0.04270212401339514,0.01169221096034899,0.00845598808482046,-0.09303882757713325,-0.01162662073804801,0.030322128472278984,-0.0393506799390089,-0.020007016119945577,-0.07950197742630591,0.09428247634518681,0.01223511625949826,-0.021349301925040504,-0.01588316121179722,-0.04563758450449117,-0.1316637633324524,-0.02225339774511971,-0.1273894503254353,-0.021275057015816282,0.04031238615739913,nan,0.16138008183765465,-0.13524364428381647,-0.028731696264934638,0.00846228938493341,-0.012455459312080641,0.12461314755126955,nan,-0.05344169448787498,0.02543995498861824,-0.0017826324170762547
