Time,"output {channel=""blue_etalon"", units=""Amps""}",seconds,days,jd,amps,sams x axis,amps,fixed refderences JD offset
1.76E+12,0.308,1763262510,20408.1309,2460995.281,0.308,-4.719347222,0.308,
1.76E+12,0.309,1763262540,20408.13125,2460995.281,0.309,-4.719,0.309,
1.76E+12,0.309,1763262570,20408.1316,2460995.281,0.309,-4.718652778,0.309,
1.76E+12,0.309,1763262600,20408.13194,2460995.282,0.309,-4.718305556,0.309,
1.76E+12,0.31,1763262630,20408.13229,2460995.282,0.31,-4.717958333,0.31,
1.76E+12,0.308,1763262660,20408.13264,2460995.282,0.308,-4.717611111,0.308,
1.76E+12,0.309,1763262690,20408.13299,2460995.283,0.309,-4.717263889,0.309,
1.76E+12,0.308,1763262720,20408.13333,2460995.283,0.308,-4.716916667,0.308,
1.76E+12,0.309,1763262750,20408.13368,2460995.283,0.309,-4.716569445,0.309,
1.76E+12,0.309,1763262780,20408.13403,2460995.284,0.309,-4.716222222,0.309,
1.76E+12,0.31,1763262810,20408.13438,2460995.284,0.31,-4.715875,0.31,
1.76E+12,0.308,1763262840,20408.13472,2460995.284,0.308,-4.715527778,0.308,
1.76E+12,0.309,1763262870,20408.13507,2460995.285,0.309,-4.715180556,0.309,
1.76E+12,0.309,1763262900,20408.13542,2460995.285,0.309,-4.714833334,0.309,
1.76E+12,0.309,1763262930,20408.13576,2460995.286,0.309,-4.714486111,0.309,
1.76E+12,0.308,1763262960,20408.13611,2460995.286,0.308,-4.714138889,0.308,
1.76E+12,0.308,1763262990,20408.13646,2460995.286,0.308,-4.713791667,0.308,
1.76E+12,0.31,1763263020,20408.13681,2460995.287,0.31,-4.713444444,0.31,
1.76E+12,0.308,1763263050,20408.13715,2460995.287,0.308,-4.713097222,0.308,
1.76E+12,0.31,1763263080,20408.1375,2460995.287,0.31,-4.71275,0.31,
1.76E+12,0.309,1763263110,20408.13785,2460995.288,0.309,-4.712402778,0.309,
1.76E+12,0.31,1763263140,20408.13819,2460995.288,0.31,-4.712055556,0.31,
1.76E+12,0.309,1763263170,20408.13854,2460995.288,0.309,-4.711708333,0.309,
1.76E+12,0.31,1763263200,20408.13889,2460995.289,0.31,-4.711361111,0.31,
1.76E+12,0.309,1763263230,20408.13924,2460995.289,0.309,-4.711013889,0.309,
1.76E+12,0.308,1763263260,20408.13958,2460995.289,0.308,-4.710666667,0.308,
1.76E+12,0.309,1763263290,20408.13993,2460995.29,0.309,-4.710319445,0.309,
1.76E+12,0.31,1763263320,20408.14028,2460995.29,0.31,-4.709972222,0.31,
1.76E+12,0.309,1763263350,20408.14063,2460995.29,0.309,-4.709625,0.309,
1.76E+12,0.309,1763263380,20408.14097,2460995.291,0.309,-4.709277778,0.309,
1.76E+12,0.309,1763263410,20408.14132,2460995.291,0.309,-4.708930556,0.309,
1.76E+12,0.309,1763263440,20408.14167,2460995.291,0.309,-4.708583334,0.309,
1.76E+12,0.31,1763263470,20408.14201,2460995.292,0.31,-4.708236111,0.31,
1.76E+12,0.308,1763263500,20408.14236,2460995.292,0.308,-4.707888889,0.308,
1.76E+12,0.31,1763263530,20408.14271,2460995.292,0.31,-4.707541667,0.31,
1.76E+12,0.31,1763263560,20408.14306,2460995.293,0.31,-4.707194445,0.31,
1.76E+12,0.309,1763263590,20408.1434,2460995.293,0.309,-4.706847223,0.309,
1.76E+12,0.31,1763263620,20408.14375,2460995.294,0.31,-4.7065,0.31,
1.76E+12,0.31,1763263650,20408.1441,2460995.294,0.31,-4.706152778,0.31,
1.76E+12,0.309,1763263680,20408.14444,2460995.294,0.309,-4.705805556,0.309,
1.76E+12,0.309,1763263710,20408.14479,2460995.295,0.309,-4.705458333,0.309,
1.76E+12,0.31,1763263740,20408.14514,2460995.295,0.31,-4.705111111,0.31,
1.76E+12,0.308,1763263770,20408.14549,2460995.295,0.308,-4.704763889,0.308,
1.76E+12,0.309,1763263800,20408.14583,2460995.296,0.309,-4.704416667,0.309,
1.76E+12,0.309,1763263830,20408.14618,2460995.296,0.309,-4.704069444,0.309,
1.76E+12,0.31,1763263860,20408.14653,2460995.296,0.31,-4.703722222,0.31,
1.76E+12,0.308,1763263890,20408.14688,2460995.297,0.308,-4.703375,0.308,
1.76E+12,0.309,1763263920,20408.14722,2460995.297,0.309,-4.703027778,0.309,
1.76E+12,0.308,1763263950,20408.14757,2460995.297,0.308,-4.702680556,0.308,
1.76E+12,0.308,1763263980,20408.14792,2460995.298,0.308,-4.702333333,0.308,
1.76E+12,0.309,1763264010,20408.14826,2460995.298,0.309,-4.701986111,0.309,
1.76E+12,0.31,1763264040,20408.14861,2460995.298,0.31,-4.701638889,0.31,
1.76E+12,0.308,1763264070,20408.14896,2460995.299,0.308,-4.701291667,0.308,
1.76E+12,0.31,1763264100,20408.14931,2460995.299,0.31,-4.700944445,0.31,
1.76E+12,0.308,1763264130,20408.14965,2460995.299,0.308,-4.700597222,0.308,
1.76E+12,0.31,1763264160,20408.15,2460995.3,0.31,-4.70025,0.31,
1.76E+12,0.309,1763264190,20408.15035,2460995.3,0.309,-4.699902778,0.309,
1.76E+12,0.309,1763264220,20408.15069,2460995.3,0.309,-4.699555556,0.309,
1.76E+12,0.309,1763264250,20408.15104,2460995.301,0.309,-4.699208334,0.309,
1.76E+12,0.309,1763264280,20408.15139,2460995.301,0.309,-4.698861111,0.309,
1.76E+12,0.31,1763264310,20408.15174,2460995.301,0.31,-4.698513889,0.31,
1.76E+12,0.31,1763264340,20408.15208,2460995.302,0.31,-4.698166667,0.31,
1.76E+12,0.309,1763264370,20408.15243,2460995.302,0.309,-4.697819444,0.309,
1.76E+12,0.31,1763264400,20408.15278,2460995.303,0.31,-4.697472222,0.31,
1.76E+12,0.308,1763264430,20408.15313,2460995.303,0.308,-4.697125,0.308,
1.76E+12,0.31,1763264460,20408.15347,2460995.303,0.31,-4.696777778,0.31,
1.76E+12,0.31,1763264490,20408.15382,2460995.304,0.31,-4.696430556,0.31,
1.76E+12,0.31,1763264520,20408.15417,2460995.304,0.31,-4.696083333,0.31,
1.76E+12,0.308,1763264550,20408.15451,2460995.304,0.308,-4.695736111,0.308,
1.76E+12,0.31,1763264580,20408.15486,2460995.305,0.31,-4.695388889,0.31,
1.76E+12,0.31,1763264610,20408.15521,2460995.305,0.31,-4.695041667,0.31,
1.76E+12,0.31,1763264640,20408.15556,2460995.305,0.31,-4.694694445,0.31,
1.76E+12,0.31,1763264670,20408.1559,2460995.306,0.31,-4.694347222,0.31,
1.76E+12,0.311,1763264700,20408.15625,2460995.306,0.311,-4.694,0.311,
1.76E+12,0.309,1763264730,20408.1566,2460995.306,0.309,-4.693652778,0.309,
1.76E+12,0.31,1763264760,20408.15694,2460995.307,0.31,-4.693305556,0.31,
1.76E+12,0.309,1763264790,20408.15729,2460995.307,0.309,-4.692958334,0.309,
1.76E+12,0.31,1763264820,20408.15764,2460995.307,0.31,-4.692611111,0.31,
1.76E+12,0.31,1763264850,20408.15799,2460995.308,0.31,-4.692263889,0.31,
1.76E+12,0.309,1763264880,20408.15833,2460995.308,0.309,-4.691916667,0.309,
1.76E+12,0.309,1763264910,20408.15868,2460995.308,0.309,-4.691569445,0.309,
1.76E+12,0.31,1763264940,20408.15903,2460995.309,0.31,-4.691222223,0.31,
1.76E+12,0.309,1763264970,20408.15938,2460995.309,0.309,-4.690875,0.309,
1.76E+12,0.31,1763265000,20408.15972,2460995.309,0.31,-4.690527778,0.31,
1.76E+12,0.311,1763265030,20408.16007,2460995.31,0.311,-4.690180556,0.311,
1.76E+12,0.311,1763265060,20408.16042,2460995.31,0.311,-4.689833333,0.311,
1.76E+12,0.309,1763265090,20408.16076,2460995.311,0.309,-4.689486111,0.309,
1.76E+12,0.309,1763265120,20408.16111,2460995.311,0.309,-4.689138889,0.309,
1.76E+12,0.309,1763265150,20408.16146,2460995.311,0.309,-4.688791667,0.309,
1.76E+12,0.309,1763265180,20408.16181,2460995.312,0.309,-4.688444444,0.309,
1.76E+12,0.309,1763265210,20408.16215,2460995.312,0.309,-4.688097222,0.309,
1.76E+12,0.309,1763265240,20408.1625,2460995.312,0.309,-4.68775,0.309,
1.76E+12,0.31,1763265270,20408.16285,2460995.313,0.31,-4.687402778,0.31,
1.76E+12,0.309,1763265300,20408.16319,2460995.313,0.309,-4.687055556,0.309,
1.76E+12,0.309,1763265330,20408.16354,2460995.313,0.309,-4.686708333,0.309,
1.76E+12,0.31,1763265360,20408.16389,2460995.314,0.31,-4.686361111,0.31,
1.76E+12,0.308,1763265390,20408.16424,2460995.314,0.308,-4.686013889,0.308,
1.76E+12,0.31,1763265420,20408.16458,2460995.314,0.31,-4.685666667,0.31,
1.76E+12,0.31,1763265450,20408.16493,2460995.315,0.31,-4.685319445,0.31,
1.76E+12,0.311,1763265480,20408.16528,2460995.315,0.311,-4.684972222,0.311,
1.76E+12,0.309,1763265510,20408.16563,2460995.315,0.309,-4.684625,0.309,
1.76E+12,0.309,1763265540,20408.16597,2460995.316,0.309,-4.684277778,0.309,
1.76E+12,0.31,1763265570,20408.16632,2460995.316,0.31,-4.683930556,0.31,
1.76E+12,0.311,1763265600,20408.16667,2460995.316,0.311,-4.683583334,0.311,
1.76E+12,0.31,1763265630,20408.16701,2460995.317,0.31,-4.683236111,0.31,
1.76E+12,0.31,1763265660,20408.16736,2460995.317,0.31,-4.682888889,0.31,
1.76E+12,0.31,1763265690,20408.16771,2460995.317,0.31,-4.682541667,0.31,
1.76E+12,0.31,1763265720,20408.16806,2460995.318,0.31,-4.682194444,0.31,
1.76E+12,0.31,1763265750,20408.1684,2460995.318,0.31,-4.681847222,0.31,
1.76E+12,0.311,1763265780,20408.16875,2460995.319,0.311,-4.6815,0.311,
1.76E+12,0.31,1763265810,20408.1691,2460995.319,0.31,-4.681152778,0.31,
1.76E+12,0.311,1763265840,20408.16944,2460995.319,0.311,-4.680805556,0.311,
1.76E+12,0.31,1763265870,20408.16979,2460995.32,0.31,-4.680458333,0.31,
1.76E+12,0.311,1763265900,20408.17014,2460995.32,0.311,-4.680111111,0.311,
1.76E+12,0.31,1763265930,20408.17049,2460995.32,0.31,-4.679763889,0.31,
1.76E+12,0.309,1763265960,20408.17083,2460995.321,0.309,-4.679416667,0.309,
1.76E+12,0.31,1763265990,20408.17118,2460995.321,0.31,-4.679069445,0.31,
1.76E+12,0.312,1763266020,20408.17153,2460995.321,0.312,-4.678722222,0.312,
1.76E+12,0.311,1763266050,20408.17188,2460995.322,0.311,-4.678375,0.311,
1.76E+12,0.311,1763266080,20408.17222,2460995.322,0.311,-4.678027778,0.311,
1.76E+12,0.31,1763266110,20408.17257,2460995.322,0.31,-4.677680556,0.31,
1.76E+12,0.31,1763266140,20408.17292,2460995.323,0.31,-4.677333334,0.31,
1.76E+12,0.309,1763266170,20408.17326,2460995.323,0.309,-4.676986111,0.309,
1.76E+12,0.31,1763266200,20408.17361,2460995.323,0.31,-4.676638889,0.31,
