jd,rv_arr,rv_arr_cal,rv_err_arr,rv_err_cal_arr
2460992.622873018,14.873700380226294,-12.645258173442262,0.35299450926970893,10.369786164849323
2460992.623300111,13.508019907050912,-7.902362164888939,0.346013720458551,8.154290364448629
2460992.623727202,13.98571552364052,-48.956826679766536,0.35335215266913783,11.023846686644116
2460992.625128127,13.956718335124677,-67.4108045044813,0.5319771910114227,8.584751335761956
2460992.625555219,10.91638865037544,74.90561950874793,0.5446319067907816,9.26801722212185
2460992.625982309,13.107713573823172,73.26250409630819,0.564363805503262,10.948760394156684
2460992.627929905,16.81310966024486,35.50357295194951,0.7412274005685295,7.365900432318951
2460992.628356997,12.043997484551502,127.66849211940342,0.7703606562365494,8.796834249344855
2460992.628784089,15.128780176825051,-47.17297627920535,0.7674704450202995,8.858713826116139
2460992.629433349,13.90264666807664,91.18311111900044,0.3731345857109828,9.440515132578115
2460992.629860441,13.28439980622299,-51.37714629693199,0.3672376075392454,7.966665598508043
2460992.630287533,12.854718406503814,-27.171341243467598,0.38061491016344107,10.054884590787875
2460992.631585959,14.151080318726198,52.4480973194936,0.2869265692148292,9.926774863073248
2460992.632013052,13.065382658077247,57.57574790042711,0.27937453577864513,8.250736523519917
2460992.632440144,13.3795753624199,-54.505923131559044,0.2810683594857628,8.292722379410751
2460992.640760215,11.264217248825176,18.66419620756452,0.11744015577334666,0.11721453331620313
2460992.64769614,10.931036417506759,18.831502302756984,0.11770431975940387,0.11740323542598927
2460992.649916981,10.213646381028097,18.332151495581936,0.118230771841149,0.11779354758306831
2460992.652137821,10.103582056372945,18.548937633293164,0.11734998683358235,0.11688875807590089
2460992.654358661,9.932791059590887,17.076967014723085,0.1141121000413092,0.11357495355177331
2460992.656579502,9.83035200768064,18.18004830285281,0.11094635747300065,0.11034471911742184
2460992.658800344,11.064285604172122,17.745061811602767,0.11217899801489532,0.11137564075589439
2460992.661021187,10.33916684943411,16.960624147897462,0.11254208924795771,0.11165264400269911
2460992.663242029,10.179764478023436,17.78956528751649,0.11209674472590934,0.1109331616880909
2460992.665462872,10.110899567487248,18.2082558239147,0.11256244592664517,0.11137838866166788
2460992.667683715,10.908642755507238,18.78575216461976,0.11152113763942638,0.11028704586748342
2460992.669904558,10.980420023516524,18.563082931516977,0.111974494493614,0.1106921636296255
2460992.672125402,11.603938909981032,18.997658150025178,0.11151421961000439,0.11030705836887227
2460992.674346247,11.22801678442815,18.50894683847278,0.11213478073983325,0.11087205762017839
2460992.676567089,11.068501636062539,17.89385828759777,0.11133624962563779,0.11007594158888678
2460992.678787932,10.928734817315283,17.907745162808762,0.11319752758201956,0.11190131934691713
2460992.681008775,12.198105102667178,19.39499904113181,0.1118013953173094,0.11058810052185558
2460992.683229618,11.781307075982097,18.609946196624822,0.11130617096678616,0.11020036550032078
2460992.685450461,11.735930430274697,18.749156945185128,0.11221772788933426,0.11101910631969342
2460992.687671303,11.559386952524948,18.343295419343143,0.11386541639510375,0.11253815347419456
2460992.689892147,11.162652785523033,17.972129555863724,0.11275032137028276,0.11136658260114177
2460992.724298093,10.991184795961392,16.864369639587498,0.11362350301132798,0.11184065795317927
2460992.726518934,10.76643518558243,15.7739347330305,0.11351347273224306,0.11168324398768532
2460992.728739775,10.014838044320468,15.60497160283039,0.11304983110348178,0.11123793021443562
2460992.730960617,9.710046002293709,15.256522289960724,0.11181313126957002,0.110151819907354
2460992.733181458,10.72008574749633,16.320149185880954,0.11227123535569601,0.11059415711919059
2460992.7354023,10.218137227698028,16.16141870022769,0.11376889356786207,0.11201675744683892
2460992.737623141,9.87135640011871,15.821528790640967,0.11379419509280214,0.1120815388435033
2460992.739843982,9.962036477105178,15.661825666749785,0.11300820751293407,0.11140228582700559
2460992.742064824,9.84637170563045,15.020100579060072,0.11270879779179174,0.11108413133664441
2460992.744285665,10.475518425429188,15.477861145606363,0.11259411116899957,0.11104645419883179
2460992.746506508,10.841686370700124,16.317265626696628,0.11328666387007562,0.11163442168607304
2460992.74872735,10.55303761191384,15.89168939418258,0.11245764562585978,0.11088064114726782
2460992.750948192,9.743107543218134,15.085811113122615,0.11224729962321026,0.11069335742978578
2460992.753169033,8.731646329431907,14.91546434364154,0.1136709995543618,0.11202299611117458
2460992.755389874,9.05844092844466,14.599711022194588,0.11211280947342643,0.11054408241243541
2460992.757610716,9.36929180554994,14.545083406866263,0.11210969180058579,0.11055614377291725
2460992.759831557,9.873146482067908,14.765912316685842,0.11086792344884216,0.10937760210530185
2460992.7620524,11.03349890821521,16.126129415712075,0.11391620347542629,0.11228216801586108
2460992.764273241,11.664694617658293,16.303477829453044,0.11293321155479354,0.11126183756179142
2460992.766494083,11.097518306670544,16.437051920624267,0.11259925985121125,0.11100175936231133
2460992.768714925,10.87890272277954,15.933379872951098,0.11264679967347117,0.11104415964344912
2460992.770935766,10.768920602909661,15.996569452356523,0.11266161143568712,0.11105972362185725
2460992.773156608,11.145059558451551,16.11595940653457,0.11194203455457863,0.11041424636960127
2460992.77537745,10.498884539083496,15.67358082728791,0.11167250247411648,0.1101416302712532
2460992.777598292,10.311352612771286,15.162528698756399,0.1117954077662737,0.11024879437683797
2460992.779819134,11.133504108811461,15.61516613079734,0.11340405211791169,0.11179645727179617
2460992.782039976,11.398963249849812,16.177385382019878,0.11252867216657396,0.1109690110291606
2460992.784260818,10.605458594469745,15.477608741800067,0.11300222360338463,0.11139121962871813
2460992.786481659,10.41889692287891,14.725741868768557,0.11185705846027097,0.11037744834293375
2460992.788702501,10.10645470076523,15.34725780053282,0.11183327023703225,0.11031899999137515
2460992.790923343,10.401086472347563,15.087613808690676,0.11267392220602239,0.11112809103665303
2460992.793144185,9.69388598501017,14.705451849566366,0.11235416527125915,0.11081867904198948
2460992.795365028,9.527997204172737,15.002186956697997,0.11286600768947233,0.1113705590256484
2460992.797585871,9.99331217813924,14.644672653359777,0.11283585220548069,0.11125261748557075
2460992.799806714,9.685392539763278,14.591121116968253,0.1123630500534332,0.1108555982905788
2460992.802027557,9.295536761902335,14.957148563512074,0.11047585896919224,0.10906063517555448
2460992.8042484,10.472312213520448,14.637276918613702,0.11309643383054736,0.11154124442670284
2460992.806469243,9.413435111641089,14.356668542495845,0.11374282074107286,0.11208476451489
2460992.808690086,9.194501085655684,13.7718669271209,0.11176125754078162,0.11030450944105101
2460992.810910929,9.547042296315938,13.925975597499194,0.11087654094608423,0.10945794712676306
2460992.813131771,9.123718735236434,13.516860592005639,0.11252203394210425,0.11101501254118569
2460992.815352615,8.621245177700885,13.231727144553455,0.1125772119420945,0.11103936782006013
2460992.817573458,8.088467008210664,12.825782359978101,0.1115157703707176,0.11010644165450957
2460992.819794302,8.479183378060284,13.210333115136024,0.11286442318237437,0.1113365788161529
2460992.822015147,7.741178845925583,12.468695898119485,0.11237635466930058,0.11089041591098252
2460992.82423599,7.673563950083702,12.216564299029924,0.11335769516613574,0.1118097593376566
2460992.826456833,6.947480357362255,11.987479758585245,0.11358529718846154,0.11200275974090859
2460992.828677676,6.281010759737674,10.802899882125557,0.11286510148229939,0.11140135531134544
2460992.830898519,6.268836688447889,10.62041958199554,0.11187204225116305,0.11047004536407945
2460992.833119363,6.182972710772785,10.826380801220719,0.11327179093926751,0.11175033592004953
2460992.835340204,6.267036809890814,10.084629579167645,0.11328629617295044,0.1118414510204442
2460992.944161423,2.895360384824341,5.392374448169183,0.11165679630667853,0.11012929031687997
2460992.960629842,2.6149070872171576,5.252978753437823,0.11379138213734981,0.11216551970046232
2460992.962850682,1.7033978072821314,4.174717225463989,0.11239585600782383,0.11082176196054477
2460992.965071521,1.812322005554469,4.873689790415192,0.11220862959790041,0.1106988957341827
2460992.96729236,2.489732909626888,5.282658709175038,0.11245416422147056,0.11087956797965788
2460992.969513201,2.4269547458951344,5.06097975582072,0.11319931757887797,0.11160621699665182
2460992.971734043,2.1826235107059073,5.021234890261955,0.1129026742467848,0.11129597357819658
2460992.973954884,2.129100025759211,5.393680868143696,0.11204625609849027,0.11049666809905181
2460992.976175726,1.1349210367259694,3.6965910586260353,0.11131251577580209,0.10980685144869753
2460992.97839657,2.5547740114128294,4.367461937113824,0.11253487821381321,0.1108700512906718
2460992.980617413,2.0665374227388846,4.476945044965812,0.1127178554234606,0.11112425618113464
2460992.982838254,2.393101664106941,5.293068941297989,0.11290383487206972,0.11126729056227734
2460992.985059097,2.599850497025725,5.05071760288844,0.11314079404281537,0.11153459909820627
2460992.987279941,2.55037344735451,4.760514825970297,0.11299587559931784,0.11137738306002584
2460992.989500785,1.7874831255540473,4.2325585770062135,0.11244927090521788,0.11086551518566609
2460992.991721627,2.2857488883926558,4.371077181575947,0.1127963345382225,0.11120884309723811
2460992.993942467,1.8100082722698791,3.5059119822945775,0.11288291694806919,0.11129635557388969
2460992.99616331,2.294718161798671,3.957109547740116,0.11202012550630731,0.1104914082003566
2460992.998384154,2.2809121821073117,4.876058022600005,0.11226509666688862,0.11067549197429531
2460993.000604998,2.507572405565377,4.511877043115095,0.11249187257952348,0.11088594911042277
2460993.002825844,2.3330779450579575,4.770592335273737,0.11316565048061225,0.11149577029089348
2460993.005046688,1.6896390175112241,3.424133300796609,0.1119223962705418,0.11034006406880408
2460993.007267531,1.6131403489353082,3.494357229049333,0.11210402656547307,0.11052490150003243
2460993.009488374,1.2080863333080125,3.8647078759807827,0.11283681219220999,0.11121468478699827
2460993.011709217,2.184544355998718,4.0175885291866065,0.11286047531061483,0.1111892267901862
2460993.01393006,2.582131434826019,4.2229784185315955,0.1138337150581144,0.11221681700525785
2460993.016150904,1.7427626894605106,3.689488318911084,0.1125605670673336,0.11094148952930057
2460993.018371747,1.4799542047383634,3.2072868297638757,0.1123092604589381,0.11070437483040015
2460993.020592591,1.345224263953773,3.802949211711383,0.11241421318839794,0.11087313006843108
2460993.022813435,1.3325029000416135,3.5231995881460048,0.11366118621473428,0.1120542822578034
2460993.025034279,1.4671981775512988,3.0085792718872915,0.11295056920467655,0.11130601600618718
2460993.027255122,1.7355740679410148,3.6828613915914827,0.11240975287880706,0.11079632804718964
2460993.029475966,1.7085002448422295,3.832971349290558,0.11214299546574777,0.11054178504821711
2460993.03169681,2.5572443448129225,4.180128366454506,0.1126936292578236,0.11108910812100742
2460993.033917655,2.097491054733069,3.441588820674069,0.11231847602227768,0.11072332152368625
2460993.036138501,1.721687367062547,3.5285501972068394,0.11247093722398308,0.11089551945430295
2460993.038359344,1.605619498362056,2.8997502801522352,0.11314619216284631,0.11144089388672174
2460993.040580188,2.452393674844962,3.3664455132173154,0.11251316446442508,0.11089183638395503
2460993.042801033,2.207491684256224,4.051875272691475,0.11301965122507128,0.11135833261635485
2460993.045021878,1.9278727159909672,4.2604517439750325,0.11298865205431126,0.1113554748775472
2460993.047242723,2.2103525491655307,3.776769499882562,0.11264616923054332,0.11097988103878847
2460993.049463567,1.8242922407327438,3.4400307461367485,0.11256134280705413,0.11096747747130772
2460993.051684411,1.6390382982387117,3.333192157939499,0.11234058492178967,0.1107014994466643
2460993.053905255,1.9851866318382527,3.587073702812685,0.11243720323211599,0.11079667556411202
2460993.0561261,2.8169091766805847,5.255859552870837,0.11143320776822081,0.10984032843221118
2460993.058346944,2.915440565234493,4.824042164532208,0.1140210695746662,0.11230610757326119
2460993.060567789,3.0629224124021093,4.446323277442392,0.1122647910977137,0.11066211604803561
2460993.062788633,1.9928867376014232,4.187292884809305,0.11208656494881922,0.11046243330173866
2460993.065009477,2.9239011021737293,3.966238324856983,0.11293569917463321,0.1113185532248965
2460993.06723032,3.229206274036706,4.6060676004148435,0.11277173342559536,0.11116580117620355
2460993.069451163,3.189904327447253,4.835244050715439,0.11240046593222111,0.11077189876448537
2460993.180493372,11.917287478749216,12.013218631397448,0.1138457629029281,0.11203831161585705
2460993.210611426,11.190769392728116,12.021676124475977,0.11960269751150306,0.11753058243201774
2460993.21283227,12.002431956598823,12.534159354715987,0.11988019713682067,0.11777704709012402
2460993.215053113,12.143027270816242,12.998485509102816,0.11919340977475193,0.11712561846679702
2460993.217273956,12.848881394823959,13.171464964089424,0.12388528135201234,0.1173618735916609
2460993.219494799,24.72892960079662,13.26107380528937,14.777131924065797,0.1172459803348688
2460993.221715643,4.616829899353627,12.83949385867868,26.747859114777977,0.11730960626054597
2460993.223936487,283.9134180008988,12.603561154173542,29.013553531545075,0.1163612411143687
2460993.226157332,72.66643761055431,14.182249688626131,37.48864800281638,0.11693828001933756
2460993.228378176,56.438178240756045,13.713613900479116,43.13143856410738,0.11699380889501775
2460993.230599019,297.9555000976568,14.2067848415385,45.29298146098726,0.11768138524013336
2460993.232819861,-318.2416266989228,13.43039056084516,32.721647336981775,0.11779450370733095
2460993.235040702,63.22156704779565,13.472776864322283,48.05538827189407,0.116688848155972
2460993.237261542,384.8499438910314,13.632645943788106,63.9810689261274,0.11841207949178575
2460993.239482382,-15.341412781390822,13.992032521899363,51.264716662097065,0.11713679551012594
2460993.241703223,236.04233090489709,13.77276512749592,45.48305453072022,0.11720221191819266
2460993.243924064,253.0270980623779,14.882408986096173,56.667970350312814,0.11626111335940116
2460993.246144905,-82.44637289918252,14.750360596757346,52.11061817496651,0.11680767565019488
2460993.248365746,-236.33275900610695,15.460200503405941,60.7875429744983,0.11655236112918262
2460993.250586587,-473.546251400668,15.029382071557302,56.946071361448304,0.11664528599673574
2460993.252807427,593.8405277670337,14.200167046553917,50.57186362351518,0.11656819879272383
2460993.255028266,132.4412978171361,15.40246379729367,61.021001976433396,0.11737726819324432
2460993.257249105,826.4399849684603,15.293521872315157,45.73532037966479,0.11653229754856757
2460993.259469946,340.68956993483334,15.3742601512947,31.950737772935707,0.11711023607375205
2460993.261690784,282.42725307797065,16.273540120561517,82.6016209548706,0.11706106278475732
2460993.263911624,99.65642504419519,15.678807585324028,65.41758400314092,0.11590597887346307
2460993.266132463,340.53939050419933,14.91026720767725,63.61804062576953,0.11581254262615527
2460993.268353303,139.62154685993772,16.344913343231102,57.31034318474246,0.11576741081630981
2460993.270574145,394.7619272631049,15.309785224262935,96.40937110367531,0.11809458909067957
2460993.272794987,751.700463630877,15.36908285996385,55.62255347386596,0.11718754707681102
2460993.275015832,194.568370301828,15.808336646044706,84.85249805115737,0.1165191112806105
2460993.277236675,-558.2020989053576,15.777894650521938,11.838013951793789,0.11569148053477078
